year,month,state,program,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members
2015,3,,IVR,171,34,26,15,10
2015,3,AK,IVR,14,2,2,1,0
2015,3,AL,IVR,956,145,142,83,60
2015,3,AR,IVR,6857,1265,1039,603,350
2015,3,AZ,IVR,1592,285,281,172,88
2015,3,CA,IVR,16089,3157,2941,1532,918
2015,3,CO,IVR,1806,374,354,195,106
2015,3,CT,IVR,25013,3825,3571,2054,1240
2015,3,DC,IVR,720,129,106,51,32
2015,3,DE,IVR,3912,607,567,302,197
2015,3,FL,IVR,92233,17018,13512,6854,4221
2015,3,GA,IVR,46839,7036,6685,3830,2294
2015,3,HI,IVR,55,12,11,7,6
2015,3,IA,IVR,28746,4948,4351,2486,1394
2015,3,ID,IVR,91,18,18,12,8
2015,3,IL,IVR,28688,4780,4321,2576,1504
2015,3,IN,IVR,1229,190,180,92,50
2015,3,KS,IVR,23378,4142,3568,2003,1038
2015,3,KY,IVR,1532,223,218,113,60
2015,3,LA,IVR,902,143,137,82,60
2015,3,LE,IVR,6,1,1,0,0
2015,3,MA,IVR,790,123,113,63,34
2015,3,MD,IVR,5098,797,735,354,223
2015,3,ME,IVR,11462,1753,1642,880,484
2015,3,MI,IVR,2947,435,426,263,147
2015,3,MN,IVR,281,46,42,23,9
2015,3,MO,IVR,87513,15629,13346,7651,4293
2015,3,MS,IVR,324,51,48,32,19
2015,3,MT,IVR,22,4,4,2,2
2015,3,NC,IVR,47394,7045,6714,4060,2698
2015,3,ND,IVR,37,6,6,3,2
2015,3,NE,IVR,10459,1791,1581,870,458
2015,3,NH,IVR,279,42,40,30,13
2015,3,NJ,IVR,35025,5223,5031,2778,1774
2015,3,NM,IVR,167,31,30,17,6
2015,3,NV,IVR,3943,775,721,380,204
2015,3,NY,IVR,39195,5789,5568,3192,1949
2015,3,OH,IVR,57283,8933,8242,4441,2608
2015,3,OK,IVR,1992,336,302,177,121
2015,3,OR,IVR,229,41,40,28,17
2015,3,PA,IVR,158112,26771,23077,11704,6791
2015,3,PR,IVR,26,5,4,1,1
2015,3,RI,IVR,150,23,22,11,8
2015,3,SC,IVR,1421,212,206,121,60
2015,3,SD,IVR,1301,222,198,109,59
2015,3,TN,IVR,2235,348,333,164,93
2015,3,TX,IVR,40769,6630,6179,3297,2019
2015,3,U,IVR,15,3,2,1,0
2015,3,UA,IVR,,1,0,,
2015,3,UT,IVR,5692,1265,1138,597,337
2015,3,VA,IVR,6875,1024,985,511,285
2015,3,VI,IVR,6,1,1,0,0
2015,3,VT,IVR,162,24,23,14,7
2015,3,WA,IVR,637,119,114,67,31
2015,3,WI,IVR,365,54,54,37,25
2015,3,WV,IVR,10683,1809,1552,901,561
2015,3,WY,IVR,198,41,39,22,13
2015,4,,IVR,52,25,15,6,3
2015,4,,Live Call,12,5,1,0,0
2015,4,AK,IVR,5,2,2,1,1
2015,4,AL,IVR,448,151,139,80,56
2015,4,AL,Live Call,17,2,2,1,0
2015,4,AR,IVR,4667,1599,1240,739,432
2015,4,AR,Live Call,396,56,38,17,15
2015,4,AZ,IVR,914,352,325,207,107
2015,4,AZ,Live Call,64,8,8,3,2
2015,4,CA,IVR,7588,2869,2582,1438,806
2015,4,CA,Live Call,685,94,71,22,15
2015,4,CO,IVR,1104,449,414,238,113
2015,4,CO,Live Call,48,7,5,0,0
2015,4,CT,IVR,11517,4063,3620,1856,1028
2015,4,CT,Live Call,546,68,56,12,9
2015,4,DC,IVR,399,147,124,60,40
2015,4,DC,Live Call,38,6,5,3,3
2015,4,DE,IVR,2463,863,779,408,225
2015,4,DE,Live Call,157,22,18,3,3
2015,4,FL,IVR,69537,21271,15480,7722,4715
2015,4,FL,Live Call,2615,495,362,134,104
2015,4,GA,IVR,21571,7096,6189,3651,2111
2015,4,GA,Live Call,620,120,79,26,23
2015,4,HI,IVR,19,8,8,4,4
2015,4,IA,IVR,20340,6775,5617,3195,1636
2015,4,IA,Live Call,959,169,101,42,38
2015,4,ID,IVR,47,27,22,12,11
2015,4,IL,IVR,19886,7101,6070,3599,1957
2015,4,IL,Live Call,1153,238,122,46,38
2015,4,IN,IVR,631,205,185,110,58
2015,4,IN,Live Call,4,2,1,0,0
2015,4,KS,IVR,15222,5577,4555,2502,1226
2015,4,KS,Live Call,945,187,100,37,33
2015,4,KY,IVR,629,223,199,120,66
2015,4,KY,Live Call,29,4,3,0,0
2015,4,LA,IVR,291,113,98,59,35
2015,4,LA,Live Call,23,3,2,2,0
2015,4,MA,IVR,384,138,125,69,33
2015,4,MA,Live Call,,1,0,,
2015,4,MD,IVR,2748,918,847,449,254
2015,4,MD,Live Call,129,19,15,6,5
2015,4,ME,IVR,6178,2197,1990,1075,532
2015,4,ME,Live Call,238,30,25,8,7
2015,4,MI,IVR,1572,551,503,329,170
2015,4,MI,Live Call,55,9,7,3,2
2015,4,MN,IVR,119,50,47,28,13
2015,4,MN,Live Call,14,2,2,1,1
2015,4,MO,IVR,59371,20615,16732,9268,4865
2015,4,MO,Live Call,4298,743,442,153,127
2015,4,MS,IVR,182,48,41,28,12
2015,4,MT,IVR,22,8,8,4,3
2015,4,NC,IVR,19627,6512,5620,3403,2184
2015,4,NC,Live Call,522,98,62,15,11
2015,4,ND,IVR,9,5,4,2,2
2015,4,NE,IVR,7091,2385,1966,1112,562
2015,4,NE,Live Call,352,63,36,10,8
2015,4,NH,IVR,93,35,32,19,8
2015,4,NH,Live Call,12,1,1,1,1
2015,4,NJ,IVR,16426,5582,5118,2896,1761
2015,4,NJ,Live Call,1014,150,128,34,30
2015,4,NM,IVR,80,32,29,16,8
2015,4,NV,IVR,2040,866,780,417,234
2015,4,NV,Live Call,150,21,16,4,3
2015,4,NY,IVR,16812,5841,5233,3094,1792
2015,4,NY,Live Call,707,89,73,18,15
2015,4,OH,IVR,30553,10495,9173,4819,2588
2015,4,OH,Live Call,1423,247,178,51,43
