year,month,legacy,region,contract,contract_name,consolidated_contact,consolidated_contract_name,state,provider_group_type,provider_group,provider_engage_level,provider_meetings,measure,goal,four_star_thresh,provider_group_goal,members,den_ytd,num_ytd,den_rolling,num_rolling,den_proj,num_proj,num_proj_0,num_proj_1_19,num_proj_20_39,num_proj_40_59,num_proj_60_79,num_proj_80_99,num_proj_100,ninety_ds_opp,gap_opp,med_sync_opp,chronic_non_adh_opp,live_calls,ivr_calls
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,AZ,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,AZ,N/A,Provider Group 1,LOW,0,High Cholesterol,0.8,0.75,0.78,30419,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,CA,N/A,Provider Group 1,LOW,0,Diabetes,0.82,0.76,0.81,30419,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,CA,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,2,2,2,1.62,2,1.62,0,0,0,0,0,2,0,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,CA,N/A,Provider Group 1,LOW,0,High Cholesterol,0.8,0.75,0.78,30419,2,2,2,1.88,2,1.88,0,0,0,0,0,2,0,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,FL,N/A,Provider Group 1,LOW,0,Diabetes,0.82,0.76,0.81,30419,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,FL,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,2,0,2,0,2,0,2,0,0,0,0,0,0,2,2,2,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,IA,N/A,Provider Group 1,LOW,0,Diabetes,0.82,0.76,0.81,30419,40,38,40,36.34,40,36.34,2,0,0,0,4,8,26,19,12,13,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,IA,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,96,82,96,80.64,96,80.64,11,1,2,0,2,15,65,43,27,25,1,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,IA,N/A,Provider Group 1,LOW,0,High Cholesterol,0.8,0.75,0.78,30419,110,93,110,89.15,110,89.15,12,2,2,5,6,17,66,46,26,24,1,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,RI,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,2,2,2,1.74,2,1.74,0,0,0,0,0,2,0,2,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,SD,N/A,Provider Group 1,LOW,0,Diabetes,0.82,0.76,0.81,30419,118,99,118,96.41,118,96.41,13,2,4,2,3,22,72,41,29,22,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,SD,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,387,336,387,328.79,387,328.79,39,0,8,3,19,58,260,90,77,35,4,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,SD,N/A,Provider Group 1,LOW,0,High Cholesterol,0.8,0.75,0.78,30419,394,352,394,336.83,394,336.83,38,3,4,4,17,66,262,97,88,32,5,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,TX,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,10,N/A,NATIONAL,H1234,Health Plan 1,H1234,,TX,N/A,Provider Group 1,LOW,0,High Cholesterol,0.8,0.75,0.78,30419,4,4,4,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0
2015,11,N/A,NATIONAL,H1234,Health Plan 1,H1234,,AZ,N/A,Provider Group 1,LOW,0,High Blood Pressure,0.83,0.79,0.83,30419,2,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0
