year,month,program,script,live_call,adherent,days_to_refill_band,days_missed_band,engaged,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members,days_to_refill,days_missed
2015,3,IVR,Late to Refill,0,0,7-Apr,15-21,0,1167,178,178,44,0,979,3176
2015,3,IVR,Late to Refill,0,0,7-Apr,15-21,1,395,60,60,60,60,328,1038
2015,3,IVR,Late to Refill,0,0,7-Apr,22-30,0,2547,401,401,130,0,2145,11465
2015,3,IVR,Late to Refill,0,0,7-Apr,22-30,1,900,144,144,144,144,775,4065
2015,3,IVR,Late to Refill,0,0,7-Apr,31-60,0,2663,435,435,161,0,2403,20932
2015,3,IVR,Late to Refill,0,0,7-Apr,31-60,1,757,118,118,117,118,638,5545
2015,3,IVR,Late to Refill,0,0,7-Apr,14-Aug,0,2056,323,323,94,0,1798,3379
2015,3,IVR,Late to Refill,0,0,7-Apr,14-Aug,1,790,117,117,117,117,618,1254
2015,3,IVR,Late to Refill,0,0,7-Apr,<=7,0,3996,628,628,211,0,3312,3462
2015,3,IVR,Late to Refill,0,0,7-Apr,<=7,1,1833,278,278,272,278,1480,1539
2015,3,IVR,Late to Refill,0,0,7-Apr,>60,1,8,1,1,1,1,4,76
2015,3,IVR,Late to Refill,0,0,10-Aug,15-21,0,864,132,132,33,0,1192,2352
2015,3,IVR,Late to Refill,0,0,10-Aug,15-21,1,266,43,43,42,43,393,787
2015,3,IVR,Late to Refill,0,0,10-Aug,22-30,0,1575,248,248,78,0,2227,7045
2015,3,IVR,Late to Refill,0,0,10-Aug,22-30,1,644,100,100,96,100,879,2805
2015,3,IVR,Late to Refill,0,0,10-Aug,31-60,0,2128,339,339,110,0,3090,16123
2015,3,IVR,Late to Refill,0,0,10-Aug,31-60,1,610,97,97,96,97,884,4443
2015,3,IVR,Late to Refill,0,0,10-Aug,14-Aug,0,3186,503,503,153,0,4541,4983
2015,3,IVR,Late to Refill,0,0,10-Aug,14-Aug,1,997,153,153,153,153,1359,1534
2015,3,IVR,Late to Refill,0,0,10-Aug,>60,0,12,2,2,1,0,19,132
2015,3,IVR,Late to Refill,0,0,<=3,15-21,0,1117,171,171,53,0,360,3042
2015,3,IVR,Late to Refill,0,0,<=3,15-21,1,391,59,59,59,59,102,1018
2015,3,IVR,Late to Refill,0,0,<=3,22-30,0,2649,417,417,130,0,844,11831
2015,3,IVR,Late to Refill,0,0,<=3,22-30,1,836,130,130,128,130,235,3679
2015,3,IVR,Late to Refill,0,0,<=3,31-60,0,2197,357,357,129,0,737,17365
2015,3,IVR,Late to Refill,0,0,<=3,31-60,1,839,136,136,136,136,269,6861
2015,3,IVR,Late to Refill,0,0,<=3,14-Aug,0,1775,275,275,73,0,556,3019
2015,3,IVR,Late to Refill,0,0,<=3,14-Aug,1,811,124,124,122,124,226,1324
2015,3,IVR,Late to Refill,0,0,<=3,<=7,0,7019,1081,1081,349,0,2066,3229
2015,3,IVR,Late to Refill,0,0,<=3,<=7,1,2929,440,440,436,440,815,1210
2015,3,IVR,Late to Refill,0,0,<=3,>60,0,33,6,6,2,0,12,457
2015,3,IVR,Late to Refill,0,0,>10,15-21,0,4525,726,726,203,0,15997,13017
2015,3,IVR,Late to Refill,0,0,>10,15-21,1,1943,302,302,295,302,8311,5461
2015,3,IVR,Late to Refill,0,0,>10,22-30,0,8959,1426,1426,460,0,37151,39325
2015,3,IVR,Late to Refill,0,0,>10,22-30,1,3069,477,477,474,477,11652,13040
2015,3,IVR,Late to Refill,0,0,>10,31-60,0,28236,4526,4526,1401,0,168262,226955
2015,3,IVR,Late to Refill,0,0,>10,31-60,1,8664,1362,1362,1350,1362,51417,68180
2015,3,IVR,Late to Refill,0,0,>10,14-Aug,0,2669,423,423,123,0,10275,5209
2015,3,IVR,Late to Refill,0,0,>10,14-Aug,1,1106,173,173,172,173,5750,2164
2015,3,IVR,Late to Refill,0,0,>10,<=7,0,220,35,35,6,0,6943,147
2015,3,IVR,Late to Refill,0,0,>10,<=7,1,238,36,36,36,36,6692,129
2015,3,IVR,Late to Refill,0,0,>10,>60,0,64342,9957,9957,2950,0,2380929,876023
2015,3,IVR,Late to Refill,0,0,>10,>60,1,25772,3879,3879,3831,3879,974543,343409
2015,3,IVR,Late to Refill,0,1,7-Apr,15-21,0,107,17,17,5,0,92,298
2015,3,IVR,Late to Refill,0,1,7-Apr,15-21,1,38,6,6,6,6,35,95
2015,3,IVR,Late to Refill,0,1,7-Apr,22-30,0,126,19,19,2,0,102,531
2015,3,IVR,Late to Refill,0,1,7-Apr,22-30,1,45,7,7,7,7,42,191
2015,3,IVR,Late to Refill,0,1,7-Apr,31-60,0,58,9,9,1,0,49,438
2015,3,IVR,Late to Refill,0,1,7-Apr,31-60,1,14,2,2,2,2,8,120
2015,3,IVR,Late to Refill,0,1,7-Apr,14-Aug,0,288,44,44,15,0,237,468
2015,3,IVR,Late to Refill,0,1,7-Apr,14-Aug,1,122,18,18,18,18,98,193
2015,3,IVR,Late to Refill,0,1,7-Apr,<=7,0,444,67,67,16,0,337,351
2015,3,IVR,Late to Refill,0,1,7-Apr,<=7,1,227,33,33,33,33,178,183
2015,3,IVR,Late to Refill,0,1,10-Aug,15-21,0,108,16,16,8,0,148,277
2015,3,IVR,Late to Refill,0,1,10-Aug,15-21,1,19,3,3,3,3,26,56
